Delivery_person_Age,Delivery_person_Ratings,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken,pick_time,distance
33.0,4.9,Sunny,Medium,1,Snack,motorcycle,2.0,No,Metropolitian,22,19,10.725
20.0,4.7,Windy,High,1,Snack,scooter,1.0,No,Urban,10,14,6.128
20.0,4.8,Sandstorms,Low,2,Meal,scooter,2.0,No,Metropolitian,19,11,1.52
35.0,5.0,Sunny,Low,2,Snack,scooter,2.0,No,Urban,11,9,3.073
26.0,4.9,Stormy,Low,2,Buffet,scooter,1.0,No,Metropolitian,11,8,3.105
22.0,4.8,Fog,Low,1,Snack,motorcycle,2.0,No,Metropolitian,28,23,10.867
35.0,4.3,Cloudy,Medium,1,Snack,motorcycle,2.0,No,Metropolitian,33,17,10.865
36.0,4.7,Cloudy,Medium,1,Drinks,scooter,2.0,No,Metropolitian,33,18,12.237
37.0,4.7,Sandstorms,Jam,0,Snack,motorcycle,4.0,No,Metropolitian,52,19,13.683
28.0,4.6,Stormy,Jam,1,Snack,scooter,2.0,No,Metropolitian,22,19,16.826
37.0,4.9,Fog,Low,1,Snack,scooter,2.0,No,Urban,16,11,3.027
23.0,4.9,Sunny,Jam,2,Drinks,scooter,1.0,No,Metropolitian,11,21,9.175
27.0,4.9,Windy,Medium,1,Drinks,scooter,2.0,No,Metropolitian,25,19,9.315
37.0,4.8,Cloudy,Medium,0,Drinks,motorcycle,2.0,No,Urban,26,16,6.209
33.0,5.0,Sunny,High,2,Snack,scooter,2.0,No,Metropolitian,18,11,1.52
31.0,4.9,Fog,Medium,1,Snack,motorcycle,2.0,No,Metropolitian,16,15,6.037
31.0,4.8,Stormy,Low,2,Drinks,scooter,2.0,No,Metropolitian,23,22,17.079
25.0,5.0,Cloudy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,15,22,4.718
28.0,4.8,Sandstorms,Jam,0,Drinks,motorcycle,2.0,No,Metropolitian,36,20,12.464
31.0,4.7,Cloudy,Low,2,Snack,motorcycle,1.0,No,Metropolitian,16,23,9.121
24.0,4.7,Sunny,Medium,0,Buffet,motorcycle,1.0,No,Urban,19,18,14.023
39.0,4.6,Sunny,Low,1,Snack,motorcycle,2.0,No,Metropolitian,27,23,13.393
39.0,4.2,Fog,Jam,2,Snack,scooter,2.0,No,Semi-Urban,49,20,12.58
32.0,4.5,Windy,Low,2,Buffet,scooter,1.0,No,Metropolitian,20,9,1.49
36.0,4.7,Cloudy,Jam,1,Snack,motorcycle,2.0,No,Metropolitian,30,20,9.435
25.0,4.8,Sandstorms,Low,1,Drinks,scooter,1.0,No,Urban,18,22,11.917
33.0,4.9,Sunny,Jam,2,Drinks,scooter,1.0,No,Metropolitian,22,22,4.664
30.0,4.4,Cloudy,Low,2,Drinks,scooter,2.0,No,Metropolitian,34,22,10.641
33.0,5.0,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,Urban,24,23,16.818
36.0,4.9,Fog,Medium,2,Drinks,scooter,2.0,No,Metropolitian,17,15,6.129
21.0,4.8,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,14,10,2.996
39.0,4.9,Stormy,Jam,2,Meal,motorcycle,2.0,No,Metropolitian,30,21,7.342
23.0,4.8,Stormy,Low,1,Meal,scooter,2.0,No,Metropolitian,15,10,3.145
35.0,4.8,Fog,Medium,2,Buffet,scooter,2.0,No,Urban,16,16,6.29
39.0,4.6,Cloudy,Jam,1,Snack,scooter,2.0,No,Metropolitian,36,20,13.972
22.0,4.7,Sunny,High,1,Buffet,scooter,2.0,No,Urban,18,12,6.081
32.0,4.6,Fog,Medium,1,Meal,scooter,1.0,No,Metropolitian,17,15,6.081
24.0,4.8,Sandstorms,Low,1,Buffet,motorcycle,2.0,No,Urban,15,22,12.58
29.0,4.7,Fog,Low,0,Buffet,motorcycle,2.0,No,Metropolitian,17,10,3.145
26.0,4.7,Fog,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,10,24,9.22
20.0,4.5,Fog,Jam,1,Drinks,motorcycle,2.0,No,Metropolitian,27,21,7.863
35.0,4.1,Sandstorms,Jam,1,Buffet,motorcycle,3.0,No,Metropolitian,37,20,13.97
39.0,4.6,Fog,Jam,1,Drinks,scooter,3.0,No,Metropolitian,44,21,13.973
34.0,4.7,Windy,High,2,Drinks,scooter,2.0,No,Metropolitian,28,12,6.059
27.0,4.7,Cloudy,Jam,2,Snack,scooter,2.0,No,Metropolitian,42,21,17.078
30.0,4.8,Windy,Low,1,Snack,motorcycle,2.0,No,Metropolitian,25,23,17.298
25.0,4.4,Cloudy,Medium,2,Snack,scooter,2.0,No,Metropolitian,39,18,17.073
25.0,4.7,Stormy,Medium,0,Meal,motorcycle,1.0,No,Urban,20,18,16.818
30.0,5.0,Stormy,High,1,Buffet,motorcycle,2.0,No,Metropolitian,31,11,2.98
24.0,4.6,Stormy,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,13,20,9.221
39.0,4.8,Stormy,Jam,1,Meal,motorcycle,2.0,No,Metropolitian,28,22,7.661
25.0,4.8,Windy,High,1,Snack,scooter,2.0,No,Urban,19,12,6.176
37.0,4.6,Fog,Low,0,Buffet,motorcycle,3.0,Yes,Urban,42,23,12.21
24.0,5.0,Fog,Low,0,Drinks,motorcycle,2.0,No,Metropolitian,23,10,1.553
25.0,4.2,Stormy,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,39,21,16.903
32.0,4.6,Stormy,Low,2,Drinks,motorcycle,2.0,No,Metropolitian,25,10,1.509
34.0,4.7,Sandstorms,Low,1,Drinks,scooter,1.0,No,Metropolitian,15,23,10.417
38.0,4.9,Cloudy,Low,2,Drinks,scooter,2.0,No,Urban,15,8,3.025
36.0,4.8,Sunny,Medium,2,Buffet,scooter,1.0,No,Metropolitian,15,17,13.407
25.0,5.0,Stormy,Jam,1,Meal,motorcycle,2.0,No,Metropolitian,15,20,16.722
29.0,5.0,Sunny,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,18,22,7.772
36.0,4.7,Sandstorms,Low,2,Drinks,scooter,1.0,No,Metropolitian,29,23,13.774
33.0,4.7,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,20,23,7.79
36.0,4.4,Cloudy,High,2,Meal,scooter,2.0,No,Metropolitian,39,12,6.218
21.0,4.8,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,19,23,16.853
25.0,4.8,Cloudy,Low,1,Snack,scooter,2.0,No,Urban,19,24,4.61
23.0,4.8,Windy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,17,23,19.88
25.0,4.6,Stormy,Low,2,Snack,motorcycle,2.0,No,Urban,15,10,1.558
24.0,4.3,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Urban,19,9,3.025
27.0,4.6,Sandstorms,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,29,21,13.972
23.0,4.8,Cloudy,Low,2,Snack,scooter,2.0,No,Urban,22,22,16.831
21.0,4.3,Fog,Jam,1,Drinks,scooter,1.0,No,Metropolitian,42,20,20.208
27.0,4.7,Sandstorms,Low,2,Snack,scooter,1.0,No,Urban,12,11,3.041
32.0,4.2,Cloudy,Jam,1,Snack,motorcycle,2.0,No,Metropolitian,38,20,20.254
25.0,4.6,Sunny,Low,0,Drinks,motorcycle,2.0,No,Metropolitian,23,23,16.721
39.0,4.7,Cloudy,Low,1,Meal,scooter,1.0,No,Metropolitian,15,10,2.985
27.0,4.6,Sunny,Low,0,Snack,motorcycle,2.0,No,Metropolitian,24,23,12.161
39.0,3.8,Windy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,37,20,16.822
31.0,4.8,Sandstorms,Low,1,Snack,scooter,1.0,No,Metropolitian,24,22,7.763
31.0,4.8,Sunny,Low,2,Buffet,scooter,1.0,No,Metropolitian,13,23,9.056
20.0,4.8,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,16,9,1.555
36.0,4.9,Cloudy,Medium,0,Drinks,motorcycle,2.0,No,Urban,42,18,12.074
20.0,4.9,Sandstorms,Low,0,Meal,motorcycle,2.0,No,Metropolitian,17,22,13.58
24.0,4.6,Cloudy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,25,21,4.47
39.0,4.2,Fog,Medium,1,Snack,scooter,1.0,No,Metropolitian,39,18,16.635
37.0,4.8,Sunny,High,2,Meal,scooter,1.0,No,Metropolitian,18,15,6.232
32.0,4.9,Sandstorms,Medium,2,Drinks,motorcycle,2.0,No,Metropolitian,28,17,6.209
22.0,4.5,Sandstorms,Low,1,Drinks,scooter,2.0,No,Metropolitian,18,22,7.461
23.0,4.9,Windy,Low,1,Meal,scooter,1.0,No,Metropolitian,18,24,20.254
33.0,4.7,Fog,Jam,1,Snack,scooter,2.0,No,Metropolitian,49,21,16.601
23.0,4.7,Sunny,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,15,23,4.54
27.0,4.6,Sunny,Low,0,Drinks,motorcycle,2.0,No,Metropolitian,21,23,12.421
34.0,4.7,Sunny,High,2,Snack,scooter,1.0,No,Metropolitian,23,14,6.119
26.0,5.0,Fog,Low,2,Meal,scooter,2.0,No,Urban,11,10,1.52
31.0,4.6,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,25,21,9.088
32.0,4.9,Fog,Low,2,Snack,motorcycle,1.0,No,Metropolitian,18,8,3.064
27.0,4.7,Cloudy,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,14,9,3.025
21.0,4.9,Windy,Medium,0,Drinks,motorcycle,3.0,No,Metropolitian,36,18,13.973
28.0,4.8,Fog,Low,1,Drinks,motorcycle,2.0,No,Metropolitian,18,23,7.763
24.0,4.9,Fog,Medium,1,Meal,scooter,2.0,No,Urban,17,16,6.29
33.0,4.4,Sandstorms,Low,0,Snack,motorcycle,2.0,No,Metropolitian,28,8,1.537
20.0,4.6,Fog,Jam,0,Buffet,motorcycle,1.0,Yes,Metropolitian,44,20,13.973
31.0,4.3,Windy,Low,0,Snack,motorcycle,2.0,No,Metropolitian,20,23,9.348
36.0,5.0,Fog,Jam,1,Snack,motorcycle,2.0,No,Metropolitian,35,20,10.602
31.0,4.2,Sandstorms,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,50,21,17.076
39.0,4.1,Stormy,Jam,1,Meal,scooter,2.0,No,Metropolitian,34,21,9.221
29.0,4.6,Sunny,Jam,2,Meal,scooter,2.0,No,Metropolitian,17,19,12.162
29.0,4.6,Sandstorms,High,1,Snack,scooter,1.0,No,Urban,23,15,6.081
37.0,4.9,Fog,Medium,0,Buffet,motorcycle,2.0,No,Metropolitian,27,18,4.674
33.0,4.7,Cloudy,High,0,Snack,motorcycle,1.0,No,Urban,26,12,6.29
31.0,3.9,Cloudy,Low,1,Buffet,scooter,2.0,No,Metropolitian,35,23,10.709
37.0,4.6,Windy,High,0,Drinks,motorcycle,2.0,No,Urban,41,12,6.29
26.0,4.4,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,23,23,9.315
24.0,4.6,Stormy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,30,18,17.137
23.0,4.8,Windy,Low,1,Buffet,scooter,2.0,No,Metropolitian,19,10,3.145
36.0,4.9,Windy,Low,1,Buffet,scooter,2.0,No,Metropolitian,27,9,1.573
39.0,4.8,Cloudy,High,0,Snack,motorcycle,2.0,No,Metropolitian,28,12,6.218
20.0,4.7,Sandstorms,Medium,0,Drinks,motorcycle,2.0,No,Metropolitian,24,17,12.464
20.0,5.0,Cloudy,Jam,0,Meal,motorcycle,2.0,No,Urban,36,19,20.207
29.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,28,23,9.081
36.0,4.8,Fog,Medium,2,Drinks,motorcycle,2.0,No,Urban,31,18,17.138
36.0,4.0,Sunny,Jam,0,Meal,motorcycle,4.0,No,Metropolitian,44,20,13.631
22.0,4.8,Windy,Low,1,Drinks,scooter,2.0,No,Metropolitian,15,22,12.074
38.0,4.4,Windy,Medium,0,Buffet,motorcycle,2.0,No,Metropolitian,33,17,10.723
39.0,4.9,Fog,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,30,20,7.601
24.0,4.9,Stormy,Medium,1,Snack,scooter,2.0,No,Metropolitian,22,18,7.563
30.0,4.1,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,43,24,11.008
35.0,4.8,Fog,Medium,0,Meal,motorcycle,4.0,No,Metropolitian,48,17,13.829
33.0,4.5,Stormy,Low,2,Drinks,scooter,2.0,No,Metropolitian,19,24,13.969
39.0,4.7,Windy,Medium,1,Snack,motorcycle,2.0,No,Urban,21,18,10.923
31.0,4.3,Windy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,44,21,12.117
37.0,4.5,Windy,Low,2,Drinks,scooter,1.0,No,Metropolitian,26,8,1.553
37.0,4.7,Windy,Low,1,Buffet,scooter,2.0,No,Metropolitian,26,22,4.664
33.0,5.0,Windy,High,1,Meal,motorcycle,2.0,No,Metropolitian,31,11,1.529
24.0,4.6,Stormy,Low,2,Meal,scooter,2.0,No,Urban,19,23,9.435
33.0,4.5,Sunny,Jam,1,Snack,scooter,1.0,No,Metropolitian,18,19,11.917
39.0,4.7,Fog,Medium,2,Meal,motorcycle,2.0,No,Metropolitian,38,19,10.486
37.0,4.6,Cloudy,Medium,1,Snack,motorcycle,2.0,No,Metropolitian,32,18,13.583
25.0,4.9,Sandstorms,Low,2,Meal,scooter,2.0,No,Metropolitian,17,22,7.683
28.0,4.8,Fog,Medium,1,Buffet,scooter,2.0,No,Urban,11,19,9.193
38.0,4.7,Windy,High,2,Buffet,motorcycle,2.0,No,Metropolitian,31,13,6.218
34.0,4.7,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,43,17,10.427
31.0,4.6,Windy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,25,18,9.327
25.0,4.8,Cloudy,Jam,2,Snack,motorcycle,2.0,No,Metropolitian,22,20,9.18
35.0,4.9,Fog,Jam,0,Drinks,motorcycle,4.0,No,Metropolitian,43,21,10.881
39.0,4.7,Fog,Jam,0,Buffet,motorcycle,2.0,Yes,Metropolitian,42,19,10.565
38.0,3.9,Stormy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,42,19,12.1
35.0,4.7,Fog,Jam,1,Drinks,motorcycle,2.0,No,Metropolitian,34,21,4.657
29.0,4.7,Sandstorms,Low,1,Snack,motorcycle,2.0,No,Metropolitian,17,10,2.981
27.0,4.6,Stormy,Jam,1,Snack,scooter,1.0,No,Metropolitian,25,20,4.561
38.0,4.3,Sandstorms,Jam,0,Meal,motorcycle,2.0,Yes,Semi-Urban,54,21,13.99
36.0,4.9,Windy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,21,23,10.642
26.0,4.0,Cloudy,High,1,Buffet,motorcycle,2.0,No,Metropolitian,34,15,6.147
26.0,4.1,Fog,Jam,2,Meal,motorcycle,2.0,No,Metropolitian,36,19,13.428
36.0,4.9,Sunny,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,17,17,9.327
21.0,4.7,Sunny,Low,0,Meal,motorcycle,2.0,No,Metropolitian,16,9,1.49
35.0,4.7,Sunny,Jam,2,Meal,scooter,2.0,No,Metropolitian,27,20,12.418
20.0,4.5,Fog,High,2,Meal,motorcycle,2.0,No,Metropolitian,26,12,6.218
23.0,4.6,Fog,Jam,0,Snack,motorcycle,3.0,Yes,Metropolitian,46,21,13.788
37.0,5.0,Sunny,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,29,20,9.08
26.0,4.8,Sandstorms,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,23,19,9.315
29.0,5.0,Sandstorms,Low,1,Snack,scooter,2.0,No,Urban,11,22,12.161
26.0,4.9,Stormy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,28,17,16.637
29.0,4.8,Cloudy,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,25,19,9.193
29.0,4.7,Sandstorms,Low,2,Snack,motorcycle,1.0,No,Metropolitian,11,10,3.018
21.0,4.9,Windy,Medium,1,Meal,scooter,2.0,No,Metropolitian,26,18,4.395
22.0,4.3,Stormy,Low,0,Meal,motorcycle,2.0,No,Metropolitian,23,10,3.109
31.0,4.0,Fog,Medium,1,Snack,motorcycle,3.0,No,Metropolitian,39,18,11.917
20.0,4.5,Fog,Low,1,Snack,motorcycle,1.0,No,Metropolitian,11,9,3.116
30.0,3.9,Stormy,Jam,2,Drinks,scooter,2.0,No,Metropolitian,32,20,12.117
36.0,4.8,Fog,Medium,0,Snack,motorcycle,2.0,No,Metropolitian,43,18,10.868
24.0,4.7,Fog,Medium,1,Buffet,scooter,2.0,No,Metropolitian,13,15,6.218
32.0,4.7,Windy,Low,2,Buffet,scooter,1.0,No,Metropolitian,25,9,1.554
25.0,5.0,Windy,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,27,18,9.313
27.0,4.5,Windy,Medium,2,Drinks,scooter,2.0,No,Metropolitian,29,15,6.147
32.0,4.1,Sandstorms,Medium,0,Buffet,motorcycle,2.0,No,Metropolitian,33,18,10.867
23.0,4.7,Fog,Medium,1,Drinks,motorcycle,2.0,No,Urban,19,17,6.209
39.0,4.4,Sunny,Medium,0,Meal,motorcycle,2.0,No,Metropolitian,33,18,20.181
20.0,4.8,Fog,Jam,1,Snack,motorcycle,2.0,No,Metropolitian,28,19,9.435
20.0,4.8,Windy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,15,18,11.92
29.0,4.6,Stormy,Jam,1,Meal,scooter,2.0,No,Metropolitian,29,20,4.494
26.0,4.9,Stormy,Low,2,Meal,scooter,2.0,No,Metropolitian,18,23,20.852
25.0,5.0,Stormy,Low,1,Meal,motorcycle,2.0,No,Metropolitian,14,11,1.561
34.0,4.7,Windy,Medium,1,Snack,motorcycle,2.0,No,Metropolitian,30,16,6.211
31.0,4.9,Sunny,High,0,Snack,motorcycle,1.0,No,Metropolitian,28,15,6.175
24.0,4.7,Fog,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,39,20,20.443
30.0,4.9,Cloudy,Medium,2,Meal,motorcycle,1.0,No,Metropolitian,30,19,13.83
36.0,4.8,Sandstorms,Medium,0,Buffet,motorcycle,2.0,No,Metropolitian,36,18,19.374
36.0,4.4,Fog,Low,0,Snack,motorcycle,2.0,No,Metropolitian,37,23,20.857
26.0,4.7,Cloudy,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,43,19,20.852
30.0,4.6,Sunny,Low,2,Buffet,scooter,2.0,No,Metropolitian,29,23,16.66
20.0,4.8,Stormy,Medium,2,Drinks,scooter,2.0,No,Metropolitian,25,18,4.718
33.0,4.7,Fog,Medium,2,Buffet,scooter,2.0,No,Urban,15,18,7.763
34.0,4.7,Sandstorms,Jam,1,Snack,scooter,1.0,No,Metropolitian,24,20,11.008
34.0,4.0,Windy,Jam,0,Snack,motorcycle,3.0,No,Metropolitian,39,21,13.767
36.0,4.6,Windy,Low,0,Buffet,motorcycle,2.0,No,Metropolitian,20,23,12.294
33.0,4.6,Fog,Low,1,Buffet,motorcycle,2.0,No,Metropolitian,15,11,2.985
22.0,4.8,Sandstorms,Low,1,Drinks,motorcycle,2.0,No,Metropolitian,16,23,16.788
38.0,4.7,Sunny,Low,2,Drinks,scooter,2.0,No,Metropolitian,19,11,1.532
27.0,4.9,Fog,Low,2,Drinks,scooter,1.0,No,Metropolitian,20,23,12.421
32.0,4.8,Sunny,Jam,2,Meal,scooter,2.0,No,Metropolitian,25,21,10.445
26.0,4.8,Cloudy,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,43,19,12.421
29.0,4.5,Windy,Low,0,Drinks,motorcycle,1.0,No,Urban,15,23,19.659
31.0,4.5,Sunny,Jam,0,Buffet,motorcycle,1.0,No,Urban,29,20,12.464
28.0,4.6,Stormy,High,2,Drinks,motorcycle,1.0,No,Metropolitian,14,12,6.146
21.0,4.8,Sunny,Medium,1,Buffet,motorcycle,2.0,No,Metropolitian,11,19,8.929
21.0,4.0,Sandstorms,Low,0,Buffet,motorcycle,2.0,No,Metropolitian,19,22,7.79
30.0,4.9,Windy,Low,1,Drinks,motorcycle,2.0,No,Metropolitian,29,23,12.58
29.0,4.7,Cloudy,Medium,2,Buffet,motorcycle,2.0,No,Urban,11,15,5.992
20.0,4.8,Sunny,High,1,Snack,motorcycle,1.0,No,Metropolitian,14,11,1.53
28.0,5.0,Windy,Low,0,Snack,motorcycle,1.0,No,Urban,15,22,13.736
25.0,4.7,Sandstorms,Low,0,Meal,motorcycle,2.0,No,Metropolitian,16,23,10.706
38.0,4.8,Stormy,Low,1,Buffet,motorcycle,2.0,No,Metropolitian,20,10,3.105
39.0,4.9,Stormy,Low,1,Drinks,motorcycle,2.0,No,Metropolitian,26,22,4.61
26.0,4.9,Windy,Medium,1,Snack,scooter,1.0,No,Metropolitian,26,17,9.122
33.0,4.4,Windy,Jam,1,Meal,motorcycle,1.0,No,Urban,43,21,10.906
24.0,4.6,Sandstorms,Medium,0,Snack,motorcycle,2.0,No,Urban,25,18,9.088
24.0,4.9,Fog,Medium,0,Buffet,motorcycle,2.0,No,Metropolitian,28,15,6.232
33.0,4.5,Stormy,Low,2,Buffet,scooter,1.0,No,Metropolitian,17,23,13.612
35.0,4.2,Windy,Jam,1,Drinks,motorcycle,2.0,No,Metropolitian,44,19,13.611
27.0,4.2,Stormy,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,33,20,13.764
28.0,4.7,Cloudy,Medium,1,Snack,scooter,2.0,No,Urban,19,18,7.761
29.0,4.5,Sunny,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,15,18,4.658
34.0,4.7,Fog,Low,1,Buffet,scooter,2.0,No,Metropolitian,27,23,19.343
20.0,4.7,Cloudy,High,2,Meal,scooter,2.0,No,Metropolitian,25,11,2.985
29.0,4.8,Sunny,High,1,Drinks,motorcycle,2.0,No,Metropolitian,18,13,6.059
22.0,4.9,Stormy,Medium,2,Snack,scooter,1.0,No,Metropolitian,21,18,9.088
35.0,4.9,Cloudy,Jam,0,Buffet,motorcycle,3.0,No,Metropolitian,53,21,10.417
32.0,4.4,Sandstorms,Jam,0,Drinks,motorcycle,4.0,No,Metropolitian,42,21,17.165
28.0,4.9,Sunny,Jam,2,Snack,motorcycle,2.0,No,Metropolitian,20,21,16.114
30.0,4.7,Fog,Low,1,Meal,scooter,1.0,No,Metropolitian,29,22,20.254
22.0,4.7,Stormy,Jam,2,Snack,scooter,1.0,No,Urban,15,20,17.076
36.0,4.7,Fog,Medium,0,Buffet,motorcycle,2.0,No,Metropolitian,30,18,7.79
23.0,4.8,Windy,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,28,20,19.762
22.0,4.8,Stormy,Low,2,Drinks,motorcycle,2.0,No,Metropolitian,19,10,3.025
29.0,4.5,Sandstorms,Low,2,Meal,motorcycle,2.0,No,Metropolitian,15,22,19.84
34.0,4.9,Sandstorms,Jam,0,Buffet,motorcycle,4.0,Yes,Urban,50,22,17.076
38.0,4.1,Stormy,High,0,Buffet,motorcycle,2.0,Yes,Metropolitian,41,11,1.553
35.0,5.0,Fog,Medium,0,Snack,motorcycle,2.0,No,Metropolitian,37,17,11.008
38.0,4.7,Cloudy,Jam,2,Drinks,scooter,2.0,No,Metropolitian,28,22,9.435
32.0,4.3,Cloudy,Medium,1,Meal,scooter,3.0,No,Metropolitian,35,18,10.281
20.0,4.5,Windy,Jam,2,Buffet,motorcycle,2.0,No,Metropolitian,27,20,10.867
25.0,4.9,Fog,Jam,0,Buffet,motorcycle,3.0,No,Metropolitian,43,21,12.418
29.0,4.5,Fog,Low,2,Meal,scooter,1.0,No,Metropolitian,12,22,8.938
32.0,4.7,Sandstorms,Jam,2,Meal,scooter,2.0,No,Metropolitian,31,21,8.929
39.0,4.1,Cloudy,Jam,1,Drinks,motorcycle,3.0,No,Metropolitian,39,21,20.443
31.0,4.4,Stormy,Jam,0,Buffet,motorcycle,2.0,No,Urban,47,21,16.66
37.0,4.5,Fog,Low,0,Buffet,motorcycle,2.0,No,Urban,26,23,7.601
